Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 126.0.0.0,,,24-07-2024 23:00:42,24-07-2024 23:00:53,10.542s,PASSED
,,,,,,,
Test Cases/XYZBank/LoginAsBankManager,Chrome 126.0.0.0,,,24-07-2024 23:00:43,24-07-2024 23:00:49,6.120s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,24-07-2024 23:00:43,24-07-2024 23:00:47,3.191s,PASSED
navigateToUrl(XYZBank),Chrome 126.0.0.0,,,24-07-2024 23:00:47,24-07-2024 23:00:48,1.364s,PASSED
"click(findTestObject(""XYZBank/StartPage/LoginasBankManager""))",Chrome 126.0.0.0,,,24-07-2024 23:00:48,24-07-2024 23:00:49,0.993s,PASSED
,,,,,,,
Test Cases/XYZBank/LoginAsCustomer,Chrome 126.0.0.0,,,24-07-2024 23:00:49,24-07-2024 23:00:53,4.093s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,24-07-2024 23:00:49,24-07-2024 23:00:51,1.634s,PASSED
navigateToUrl(XYZBank),Chrome 126.0.0.0,,,24-07-2024 23:00:51,24-07-2024 23:00:52,1.275s,PASSED
"click(findTestObject(""XYZBank/StartPage/LoginAsCustomer""))",Chrome 126.0.0.0,,,24-07-2024 23:00:52,24-07-2024 23:00:53,0.976s,PASSED
