Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Data Driven,Chrome 126.0.0.0,,,10-07-2024 05:04:46,10-07-2024 05:05:28,41.303s,PASSED
,,,,,,,
Test Cases/Data Driven/Login_DataDriven,Chrome 126.0.0.0,,,10-07-2024 05:04:46,10-07-2024 05:04:56,9.985s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,10-07-2024 05:04:47,10-07-2024 05:04:50,3.324s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 126.0.0.0,,,10-07-2024 05:04:50,10-07-2024 05:04:52,1.245s,PASSED
"verifyElementPresent(findTestObject(""Logo""), 0)",Chrome 126.0.0.0,,,10-07-2024 05:04:52,10-07-2024 05:04:53,0.865s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 126.0.0.0,,,10-07-2024 05:04:53,10-07-2024 05:04:53,0.793s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 126.0.0.0,,,10-07-2024 05:04:53,10-07-2024 05:04:54,0.750s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 126.0.0.0,,,10-07-2024 05:04:54,10-07-2024 05:04:55,0.599s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/div_Swag Labs""))",Chrome 126.0.0.0,,,10-07-2024 05:04:55,10-07-2024 05:04:55,0.475s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Swag Labs/div_Swag Labs""), ""Swag Labs"")",Chrome 126.0.0.0,,,10-07-2024 05:04:55,10-07-2024 05:04:56,0.372s,PASSED
"click(findTestObject(""HomePage/MenuButton""))",Chrome 126.0.0.0,,,10-07-2024 05:04:56,10-07-2024 05:04:56,0.338s,PASSED
"click(findTestObject(""HomePage/Logout""))",Chrome 126.0.0.0,,,10-07-2024 05:04:56,10-07-2024 05:04:56,0.614s,PASSED
,,,,,,,
Test Cases/Data Driven/Login_DataDriven,Chrome 126.0.0.0,,,10-07-2024 05:04:57,10-07-2024 05:05:03,6.680s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,10-07-2024 05:04:57,10-07-2024 05:04:58,1.302s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 126.0.0.0,,,10-07-2024 05:04:58,10-07-2024 05:04:59,1.262s,PASSED
"verifyElementPresent(findTestObject(""Logo""), 0)",Chrome 126.0.0.0,,,10-07-2024 05:04:59,10-07-2024 05:05:00,0.712s,PASSED
