Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 126.0.0.0,,,12-07-2024 21:16:55,12-07-2024 21:16:56,1.295s,PASSED
"verifyElementPresent(findTestObject(""SauceDemo/Logo""), 0)",Chrome 126.0.0.0,,,12-07-2024 21:16:56,12-07-2024 21:16:57,0.719s,PASSED
"setText(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 126.0.0.0,,,12-07-2024 21:16:57,12-07-2024 21:16:58,0.714s,PASSED
"setText(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 126.0.0.0,,,12-07-2024 21:16:58,12-07-2024 21:16:59,0.734s,PASSED
"click(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 126.0.0.0,,,12-07-2024 21:16:59,12-07-2024 21:16:59,0.387s,PASSED
"click(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/div_Swag Labs""))",Chrome 126.0.0.0,,,12-07-2024 21:16:59,12-07-2024 21:16:59,0.530s,PASSED
"verifyElementText(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/div_Swag Labs""), ""Swag Labs"")",Chrome 126.0.0.0,,,12-07-2024 21:16:59,12-07-2024 21:17:00,0.296s,PASSED
"click(findTestObject(""SauceDemo/HomePage/MenuButton""))",Chrome 126.0.0.0,,,12-07-2024 21:17:00,12-07-2024 21:17:00,0.315s,PASSED
"click(findTestObject(""SauceDemo/HomePage/Logout""))",Chrome 126.0.0.0,,,12-07-2024 21:17:00,12-07-2024 21:17:00,0.334s,PASSED
,,,,,,,
Test Cases/SauceDemo/Data Driven/Login_DataDriven,Chrome 126.0.0.0,,,12-07-2024 21:17:00,12-07-2024 21:17:07,6.339s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,12-07-2024 21:17:00,12-07-2024 21:17:01,0.960s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 126.0.0.0,,,12-07-2024 21:17:01,12-07-2024 21:17:03,1.291s,PASSED
"verifyElementPresent(findTestObject(""SauceDemo/Logo""), 0)",Chrome 126.0.0.0,,,12-07-2024 21:17:03,12-07-2024 21:17:03,0.734s,PASSED
"setText(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 126.0.0.0,,,12-07-2024 21:17:03,12-07-2024 21:17:04,0.768s,PASSED
"setText(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 126.0.0.0,,,12-07-2024 21:17:04,12-07-2024 21:17:05,0.724s,PASSED
"click(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 126.0.0.0,,,12-07-2024 21:17:05,12-07-2024 21:17:05,0.372s,PASSED
"click(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/div_Swag Labs""))",Chrome 126.0.0.0,,,12-07-2024 21:17:05,12-07-2024 21:17:06,0.537s,PASSED
"verifyElementText(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/div_Swag Labs""), ""Swag Labs"")",Chrome 126.0.0.0,,,12-07-2024 21:17:06,12-07-2024 21:17:06,0.287s,PASSED
"click(findTestObject(""SauceDemo/HomePage/MenuButton""))",Chrome 126.0.0.0,,,12-07-2024 21:17:06,12-07-2024 21:17:06,0.306s,PASSED
"click(findTestObject(""SauceDemo/HomePage/Logout""))",Chrome 126.0.0.0,,,12-07-2024 21:17:06,12-07-2024 21:17:07,0.342s,PASSED
,,,,,,,
Test Cases/SauceDemo/Login,Chrome 126.0.0.0,,,12-07-2024 21:17:07,12-07-2024 21:17:12,5.086s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,12-07-2024 21:17:07,12-07-2024 21:17:08,0.983s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 126.0.0.0,,,12-07-2024 21:17:08,12-07-2024 21:17:09,0.924s,PASSED
"verifyElementPresent(findTestObject(""SauceDemo/Logo""), 0)",Chrome 126.0.0.0,,,12-07-2024 21:17:09,12-07-2024 21:17:09,0.735s,PASSED
"setText(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 126.0.0.0,,,12-07-2024 21:17:09,12-07-2024 21:17:10,0.746s,PASSED
"setEncryptedText(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/input_Swag Labs_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 126.0.0.0,,,12-07-2024 21:17:10,12-07-2024 21:17:11,0.425s,PASSED
