Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 126.0.0.0,,,24-07-2024 22:55:58,24-07-2024 22:56:18,20.092s,FAILED
,,,,,,,
Test Cases/XYZBank/LoginAsBankManager,Chrome 126.0.0.0,,,24-07-2024 22:56:08,24-07-2024 22:56:10,2.046s,FAILED
"openBrowser("""")",Chrome 126.0.0.0,,,24-07-2024 22:56:08,24-07-2024 22:56:09,1.701s,PASSED
navigateToUrl(XYZBank),Chrome 126.0.0.0,,,24-07-2024 22:56:09,24-07-2024 22:56:10,0.312s,FAILED
,,,,,,,
Test Cases/XYZBank/LoginAsCustomer,Chrome 126.0.0.0,,,24-07-2024 22:56:16,24-07-2024 22:56:18,2.334s,FAILED
"openBrowser("""")",Chrome 126.0.0.0,,,24-07-2024 22:56:16,24-07-2024 22:56:18,2.019s,PASSED
navigateToUrl(XYZBank),Chrome 126.0.0.0,,,24-07-2024 22:56:18,24-07-2024 22:56:18,0.281s,FAILED
