Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SauceDemo,Chrome 126.0.0.0,,,12-07-2024 21:25:19,12-07-2024 21:27:27,2m - 8.213s,FAILED
,,,,,,,
Test Cases/SauceDemo/Data Driven/Login_DataDriven,Chrome 126.0.0.0,,,12-07-2024 21:25:19,12-07-2024 21:25:27,7.712s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,12-07-2024 21:25:20,12-07-2024 21:25:22,2.052s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 126.0.0.0,,,12-07-2024 21:25:22,12-07-2024 21:25:23,1.247s,PASSED
"verifyElementPresent(findTestObject(""SauceDemo/Logo""), 0)",Chrome 126.0.0.0,,,12-07-2024 21:25:23,12-07-2024 21:25:24,0.710s,PASSED
"setText(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 126.0.0.0,,,12-07-2024 21:25:24,12-07-2024 21:25:24,0.753s,PASSED
"setText(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 126.0.0.0,,,12-07-2024 21:25:24,12-07-2024 21:25:25,0.747s,PASSED
"click(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 126.0.0.0,,,12-07-2024 21:25:25,12-07-2024 21:25:25,0.405s,PASSED
"click(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/div_Swag Labs""))",Chrome 126.0.0.0,,,12-07-2024 21:25:25,12-07-2024 21:25:26,0.433s,PASSED
"verifyElementText(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/div_Swag Labs""), ""Swag Labs"")",Chrome 126.0.0.0,,,12-07-2024 21:25:26,12-07-2024 21:25:26,0.319s,PASSED
"click(findTestObject(""SauceDemo/HomePage/MenuButton""))",Chrome 126.0.0.0,,,12-07-2024 21:25:26,12-07-2024 21:25:27,0.342s,PASSED
"click(findTestObject(""SauceDemo/HomePage/Logout""))",Chrome 126.0.0.0,,,12-07-2024 21:25:27,12-07-2024 21:25:27,0.340s,PASSED
,,,,,,,
Test Cases/SauceDemo/Data Driven/Login_DataDriven,Chrome 126.0.0.0,,,12-07-2024 21:25:27,12-07-2024 21:25:33,5.906s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,12-07-2024 21:25:27,12-07-2024 21:25:28,0.991s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 126.0.0.0,,,12-07-2024 21:25:28,12-07-2024 21:25:29,0.874s,PASSED
"verifyElementPresent(findTestObject(""SauceDemo/Logo""), 0)",Chrome 126.0.0.0,,,12-07-2024 21:25:29,12-07-2024 21:25:30,0.711s,PASSED
"setText(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 126.0.0.0,,,12-07-2024 21:25:30,12-07-2024 21:25:30,0.735s,PASSED
