Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Customer,Chrome 126.0.0.0,,,24-07-2024 22:59:37,24-07-2024 23:00:32,54.999s,PASSED
,,,,,,,
Test Cases/XYZBank/Customer/CustomerDepositAmount,Chrome 126.0.0.0,,,24-07-2024 22:59:38,24-07-2024 22:59:50,12.385s,PASSED
"callTestCase(findTestCase(""XYZBank/Customer/SelectCustomerDeposit""), [:], STOP_ON_FAILURE)",Chrome 126.0.0.0,,,24-07-2024 22:59:38,24-07-2024 22:59:47,9.305s,PASSED
"setText(findTestObject(""XYZBank/Customer/CustomerDeposit/DepositAmount""), ""1000"")",Chrome 126.0.0.0,,,24-07-2024 22:59:47,24-07-2024 22:59:49,1.145s,PASSED
"click(findTestObject(""XYZBank/Customer/CustomerDeposit/CustomerDepositButton""))",Chrome 126.0.0.0,,,24-07-2024 22:59:49,24-07-2024 22:59:49,0.357s,PASSED
"click(findTestObject(""XYZBank/Customer/CustomerHomePage/CustomerLogout""))",Chrome 126.0.0.0,,,24-07-2024 22:59:49,24-07-2024 22:59:49,0.364s,PASSED
"click(findTestObject(""XYZBank/StartPage/BacktoHome""))",Chrome 126.0.0.0,,,24-07-2024 22:59:49,24-07-2024 22:59:50,0.585s,PASSED
,,,,,,,
Test Cases/XYZBank/Customer/CustomerHomePage,Chrome 126.0.0.0,,,24-07-2024 22:59:50,24-07-2024 22:59:56,5.870s,PASSED
"callTestCase(findTestCase(""XYZBank/LoginAsCustomer""), [:], STOP_ON_FAILURE)",Chrome 126.0.0.0,,,24-07-2024 22:59:50,24-07-2024 22:59:54,4.292s,PASSED
"selectOptionByValue(findTestObject(""XYZBank/Customer/CustomerLoginPage/SelectCustomer""), ""2"", false)",Chrome 126.0.0.0,,,24-07-2024 22:59:54,24-07-2024 22:59:55,1.151s,PASSED
"click(findTestObject(""XYZBank/Customer/CustomerLoginPage/LoginButton""))",Chrome 126.0.0.0,,,24-07-2024 22:59:55,24-07-2024 22:59:56,0.399s,PASSED
,,,,,,,
Test Cases/XYZBank/Customer/CustomerTransaction,Chrome 126.0.0.0,,,24-07-2024 22:59:56,24-07-2024 23:00:04,8.336s,PASSED
"callTestCase(findTestCase(""XYZBank/Customer/SelectCustomerTransactions""), [:], STOP_ON_FAILURE)",Chrome 126.0.0.0,,,24-07-2024 22:59:56,24-07-2024 23:00:03,6.795s,PASSED
"click(findTestObject(""XYZBank/Customer/CustomerTransactions/Transaction_Back""))",Chrome 126.0.0.0,,,24-07-2024 23:00:03,24-07-2024 23:00:04,0.774s,PASSED
"click(findTestObject(""XYZBank/Customer/CustomerHomePage/CustomerLogout""))",Chrome 126.0.0.0,,,24-07-2024 23:00:04,24-07-2024 23:00:04,0.584s,PASSED
,,,,,,,
Test Cases/XYZBank/Customer/CustomerWithdrawal,Chrome 126.0.0.0,,,24-07-2024 23:00:04,24-07-2024 23:00:13,8.365s,PASSED
"callTestCase(findTestCase(""XYZBank/Customer/SelectCustomerWithdrawal""), [:], STOP_ON_FAILURE)",Chrome 126.0.0.0,,,24-07-2024 23:00:04,24-07-2024 23:00:11,6.465s,PASSED
"setText(findTestObject(""XYZBank/Customer/CustomerWithdrawal/WithdrawAmount""), ""50"")",Chrome 126.0.0.0,,,24-07-2024 23:00:11,24-07-2024 23:00:12,1.133s,PASSED
"click(findTestObject(""XYZBank/Customer/CustomerWithdrawal/WithdrawButton""))",Chrome 126.0.0.0,,,24-07-2024 23:00:12,24-07-2024 23:00:12,0.320s,PASSED
"click(findTestObject(""XYZBank/Customer/CustomerHomePage/CustomerLogout""))",Chrome 126.0.0.0,,,24-07-2024 23:00:12,24-07-2024 23:00:13,0.318s,PASSED
,,,,,,,
Test Cases/XYZBank/Customer/SelectCustomerDeposit,Chrome 126.0.0.0,,,24-07-2024 23:00:13,24-07-2024 23:00:19,6.551s,PASSED
"callTestCase(findTestCase(""XYZBank/Customer/CustomerHomePage""), [:], STOP_ON_FAILURE)",Chrome 126.0.0.0,,,24-07-2024 23:00:13,24-07-2024 23:00:18,5.792s,PASSED
"click(findTestObject(""XYZBank/Customer/CustomerHomePage/Customer_Deposit_Button""))",Chrome 126.0.0.0,,,24-07-2024 23:00:18,24-07-2024 23:00:19,0.739s,PASSED
,,,,,,,
Test Cases/XYZBank/Customer/SelectCustomerTransactions,Chrome 126.0.0.0,,,24-07-2024 23:00:19,24-07-2024 23:00:25,6.390s,PASSED
"callTestCase(findTestCase(""XYZBank/Customer/CustomerHomePage""), [:], STOP_ON_FAILURE)",Chrome 126.0.0.0,,,24-07-2024 23:00:19,24-07-2024 23:00:25,5.493s,PASSED
"click(findTestObject(""XYZBank/Customer/CustomerHomePage/Customer_Transactions_Button""))",Chrome 126.0.0.0,,,24-07-2024 23:00:25,24-07-2024 23:00:25,0.872s,PASSED
,,,,,,,
Test Cases/XYZBank/Customer/SelectCustomerWithdrawal,Chrome 126.0.0.0,,,24-07-2024 23:00:25,24-07-2024 23:00:32,6.695s,PASSED
"callTestCase(findTestCase(""XYZBank/Customer/CustomerHomePage""), [:], STOP_ON_FAILURE)",Chrome 126.0.0.0,,,24-07-2024 23:00:25,24-07-2024 23:00:31,5.869s,PASSED
"click(findTestObject(""XYZBank/Customer/CustomerHomePage/Customer_Withdrawal_Button""))",Chrome 126.0.0.0,,,24-07-2024 23:00:31,24-07-2024 23:00:32,0.803s,PASSED
