Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SauceDemo,Chrome 126.0.0.0,,,22-07-2024 16:09:55,22-07-2024 16:11:51,1m - 56.164s,FAILED
,,,,,,,
Test Cases/SauceDemo/Data Driven/Login_DataDriven,Chrome 126.0.0.0,,,22-07-2024 16:09:55,22-07-2024 16:10:05,9.918s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-07-2024 16:09:56,22-07-2024 16:09:59,3.187s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 126.0.0.0,,,22-07-2024 16:09:59,22-07-2024 16:10:00,0.720s,PASSED
"verifyElementPresent(findTestObject(""SauceDemo/Logo""), 0)",Chrome 126.0.0.0,,,22-07-2024 16:10:00,22-07-2024 16:10:01,1.316s,PASSED
"setText(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 126.0.0.0,,,22-07-2024 16:10:01,22-07-2024 16:10:02,0.975s,PASSED
"setText(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 126.0.0.0,,,22-07-2024 16:10:02,22-07-2024 16:10:03,0.911s,PASSED
"click(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 126.0.0.0,,,22-07-2024 16:10:03,22-07-2024 16:10:04,0.485s,PASSED
"click(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/div_Swag Labs""))",Chrome 126.0.0.0,,,22-07-2024 16:10:04,22-07-2024 16:10:04,0.485s,PASSED
"verifyElementText(findTestObject(""Object Repository/SauceDemo/Page_Swag Labs/div_Swag Labs""), ""Swag Labs"")",Chrome 126.0.0.0,,,22-07-2024 16:10:04,22-07-2024 16:10:04,0.333s,PASSED
"click(findTestObject(""SauceDemo/HomePage/MenuButton""))",Chrome 126.0.0.0,,,22-07-2024 16:10:04,22-07-2024 16:10:05,0.356s,PASSED
"click(findTestObject(""SauceDemo/HomePage/Logout""))",Chrome 126.0.0.0,,,22-07-2024 16:10:05,22-07-2024 16:10:05,0.395s,PASSED
,,,,,,,
Test Cases/SauceDemo/Data Driven/Login_DataDriven,Chrome 126.0.0.0,,,22-07-2024 16:10:05,22-07-2024 16:10:13,7.878s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,22-07-2024 16:10:05,22-07-2024 16:10:07,1.982s,PASSED
